,300104.SZ.Open,300104.SZ.High,300104.SZ.Low,300104.SZ.Close,300104.SZ.Volume,300104.SZ.Adjusted
1639,35.8,35.8,35.8,35.8,0,35.8
1640,35.8,35.8,35.8,35.8,0,35.8
1641,35.8,35.8,35.8,35.8,0,35.8
1642,35.8,35.8,35.8,35.8,0,35.8
1643,35.8,35.8,35.8,35.8,0,35.8
1644,35.8,35.8,35.8,35.8,0,35.8
1645,35.8,35.8,35.8,35.8,0,35.8
1646,35.8,35.8,35.8,35.8,0,35.8
1647,35.8,35.8,35.8,35.8,0,35.8
1648,36.88,38.98,33.95,35.4,96948700,35.4
1649,34.99,38.94,34.38,38.94,103519100,38.94
1650,38.51,38.89,37.7,38.13,63520800,38.13
1651,38.13,38.13,38.13,38.13,0,38.13
1652,38.12,41.17,37.91,39.35,93145200,39.35
1653,38.85,39.69,38.68,39,40659600,39
1654,38.88,39.15,37.13,37.44,44217200,37.44
1655,37.2,37.4,36.61,36.81,29632800,36.81
1656,37.02,37.28,36.58,36.6,20273600,36.6
1657,36.6,36.6,36.6,36.6,0,36.6
1658,36.6,36.6,36.6,36.6,0,36.6
1659,36.6,36.6,36.6,36.6,0,36.6
1660,36.6,36.6,36.6,36.6,0,36.6
1661,36.6,36.6,36.6,36.6,0,36.6
1662,36.8,37.26,36.3,36.72,18079600,36.72
1663,36.62,36.97,36.02,36.67,23440300,36.67
1664,36.67,36.67,35.9,36.04,25553300,36.04
1665,35.64,36.56,35.64,36.31,23438600,36.31
1666,36.37,36.81,36.3,36.36,21819500,36.36
1667,36.44,36.55,35.8,35.81,24185900,35.81
1668,35.83,36.36,35.43,35.92,26547800,35.92
1669,37.11,38.28,37.11,37.24,65504900,37.24
1670,36.85,37.18,36.35,36.35,34414200,36.35
1671,36.3,36.58,35.9,36.27,21274000,36.27
1672,36.11,36.4,35.46,35.51,24152100,35.51
1673,35.53,35.86,35.12,35.8,21076100,35.8
1674,35.7,36.59,35.51,36.29,28317800,36.29
1675,36.3,36.66,35.9,36.3,22010200,36.3
1676,36.33,36.54,36.02,36.3,19023300,36.3
1677,36.29,36.86,36.13,36.5,25601000,36.5
1678,36.33,36.36,35.52,35.58,26526400,35.58
1679,35.59,35.88,34.82,35.09,28868400,35.09
1680,35,35.49,34.83,35.23,22286000,35.23
1681,35.01,35.38,33.6,33.75,56589000,33.75
1682,33.11,33.15,31.01,31.89,82441400,31.89
1683,31.5,32.35,31.41,32,38348500,32
1684,31.99,32.43,31.85,32.28,28715300,32.28
1685,32.3,32.59,32.01,32.33,27547500,32.33
1686,32.27,32.27,31.68,31.86,21739600,31.86
1687,31.8,32.25,31.76,31.89,18461100,31.89
1688,31.88,31.93,31.31,31.71,19427400,31.71
1689,31.72,31.86,31.21,31.31,25187000,31.31
1690,31.25,33.65,30.31,33.17,92639300,33.17
1691,32.58,33.07,32.55,32.68,45946500,32.68
1692,32.69,33.39,32.12,32.2,39975800,32.2
1693,32.21,32.75,31.38,32.37,32745400,32.37
1694,32.09,32.29,31.81,31.83,21240500,31.83
1695,31.51,31.88,31.4,31.47,18377300,31.47
1696,31.56,31.98,31.27,31.64,22355500,31.64
1697,31.61,31.79,31.35,31.53,17281000,31.53
1698,31.48,31.65,31.17,31.23,17237300,31.23
1699,31.26,32.1,31.2,31.75,28174700,31.75
1700,31.89,33.28,31.46,32.49,60020100,32.49
1701,32.29,33.33,31.92,32.22,47781000,32.22
1702,32.61,34.45,32.36,33.92,74998200,33.92
1703,33.92,33.92,33.92,33.92,0,33.92
1704,33.92,33.92,33.92,33.92,0,33.92
1705,33.5,33.98,33.2,33.85,44760600,33.85
1706,33.85,33.89,32.6,32.8,41031700,32.8
1707,32.68,33.49,32.68,33,25665100,33
